workout,link,full_body,lower_body,upper_body,core,time1,time2,beginner,advanced
Basic Workout,www.sparkpeople.com/resource/fitness_plan_generator_details.asp?id=94,1000,0,0,0,100,0,10,0
Mat Workout,https://www.sparkpeople.com/resource/fitness_plan_generator_details.asp?id=95,1000,0,0,0,100,0,10,0
Standing Workout,https://www.sparkpeople.com/resource/fitness_plan_generator_details.asp?id=96,1000,0,0,0,100,0,10,0
Basic Balance Challenge,https://www.sparkpeople.com/resource/fitness_plan_generator_details.asp?id=97,1000,0,0,0,100,0,10,0
Twist Workout,https://www.sparkpeople.com/resource/fitness_plan_generator_details.asp?id=98,1000,0,0,0,100,0,10,0
Basic Strength Training Workout for Runners,https://www.sparkpeople.com/resource/fitness_plan_generator_details.asp?id=233,1000,0,0,0,100,0,10,0
Beginner's Challenge,https://www.sparkpeople.com/resource/fitness_plan_generator_details.asp?id=99,1000,0,0,0,0,100,10,0
Yogilates Workout,https://www.sparkpeople.com/resource/fitness_plan_generator_details.asp?id=100,1000,0,0,0,0,100,10,0
Total Body Mat Workout,https://www.sparkpeople.com/resource/fitness_plan_generator_details.asp?id=101,1000,0,0,0,0,100,10,0
Standing Workout Challenge,https://www.sparkpeople.com/resource/fitness_plan_generator_details.asp?id=102,1000,0,0,0,0,100,10,0
Focused Workout,https://www.sparkpeople.com/resource/fitness_plan_generator_details.asp?id=103,1000,0,0,0,0,100,10,0
Advanced Workout,https://www.sparkpeople.com/resource/fitness_plan_generator_details.asp?id=104,1000,0,0,0,100,0,0,10
Body Weight Challenge,https://www.sparkpeople.com/resource/fitness_plan_generator_details.asp?id=105,1000,0,0,0,100,0,0,10
Advanced Mat Workout,https://www.sparkpeople.com/resource/fitness_plan_generator_details.asp?id=106,1000,0,0,0,100,0,0,10
Advanced Standing Workout,https://www.sparkpeople.com/resource/fitness_plan_generator_details.asp?id=107,1000,0,0,0,100,0,0,10
Advanced Balance Challenge,https://www.sparkpeople.com/resource/fitness_plan_generator_details.asp?id=108,1000,0,0,0,100,0,0,10
Full Body Challenge,https://www.sparkpeople.com/resource/fitness_plan_generator_details.asp?id=109,1000,0,0,0,0,100,0,10
Advanced Workout,https://www.sparkpeople.com/resource/fitness_plan_generator_details.asp?id=110,1000,0,0,0,0,100,0,10
Standing Workout,https://www.sparkpeople.com/resource/fitness_plan_generator_details.asp?id=78,0,0,1000,0,100,0,10,0
Body Weight Workout,https://www.sparkpeople.com/resource/fitness_plan_generator_details.asp?id=79,0,0,1000,0,100,0,10,0.1
Mat Workout,https://www.sparkpeople.com/resource/fitness_plan_generator_details.asp?id=80,0,0,1000,0,100,0,10,0.1
Body Weight Workout,https://www.sparkpeople.com/resource/fitness_plan_generator_details.asp?id=81,0,0,1000,0,0,100,10,0.1
Wall Pushups Workout,https://www.sparkpeople.com/resource/fitness_plan_generator_details.asp?id=82,0,0,1000,0,100,0,0,10
